Label,Message
spam,Congratulations! You've won a free ticket to Bahamas. Call now!
spam,Urgent! You have won a $1000 Walmart gift card. Click here.
spam,Free entry in 2 a weekly competition to win FA Cup final tkts
spam,Get a new iPhone for $1. Claim yours now!
spam,You have been selected for a cash prize of $5000.
spam,WINNER!! As a valued network customer you have been selected
spam,Exclusive offer just for you! Claim your reward now.
spam,"You've been pre-approved for a $10,000 loan. No credit check!"
spam,Limited time offer! Buy one get one free!
spam,You’ve won tickets to the concert! Call to confirm.
spam,Congratulations! You've won a free ticket to Bahamas. Call now!
spam,Urgent! You have won a $1000 Walmart gift card. Click here.
spam,Free entry in 2 a weekly competition to win FA Cup final tkts
spam,Get a new iPhone for $1. Claim yours now!
spam,You have been selected for a cash prize of $5000.
spam,WINNER!! As a valued network customer you have been selected
spam,Exclusive offer just for you! Claim your reward now.
spam,"You've been pre-approved for a $10,000 loan. No credit check!"
spam,Limited time offer! Buy one get one free!
spam,You’ve won tickets to the concert! Call to confirm.
spam,Congratulations! You've won a free ticket to Bahamas. Call now!
spam,Urgent! You have won a $1000 Walmart gift card. Click here.
spam,Free entry in 2 a weekly competition to win FA Cup final tkts
spam,Get a new iPhone for $1. Claim yours now!
spam,You have been selected for a cash prize of $5000.
spam,WINNER!! As a valued network customer you have been selected
spam,Exclusive offer just for you! Claim your reward now.
spam,"You've been pre-approved for a $10,000 loan. No credit check!"
spam,Limited time offer! Buy one get one free!
spam,You’ve won tickets to the concert! Call to confirm.
spam,Congratulations! You've won a free ticket to Bahamas. Call now!
spam,Urgent! You have won a $1000 Walmart gift card. Click here.
spam,Free entry in 2 a weekly competition to win FA Cup final tkts
spam,Get a new iPhone for $1. Claim yours now!
spam,You have been selected for a cash prize of $5000.
spam,WINNER!! As a valued network customer you have been selected
spam,Exclusive offer just for you! Claim your reward now.
spam,"You've been pre-approved for a $10,000 loan. No credit check!"
spam,Limited time offer! Buy one get one free!
spam,You’ve won tickets to the concert! Call to confirm.
spam,Congratulations! You've won a free ticket to Bahamas. Call now!
spam,Urgent! You have won a $1000 Walmart gift card. Click here.
spam,Free entry in 2 a weekly competition to win FA Cup final tkts
spam,Get a new iPhone for $1. Claim yours now!
spam,You have been selected for a cash prize of $5000.
spam,WINNER!! As a valued network customer you have been selected
spam,Exclusive offer just for you! Claim your reward now.
spam,"You've been pre-approved for a $10,000 loan. No credit check!"
spam,Limited time offer! Buy one get one free!
spam,You’ve won tickets to the concert! Call to confirm.
spam,Congratulations! You've won a free ticket to Bahamas. Call now!
spam,Urgent! You have won a $1000 Walmart gift card. Click here.
spam,Free entry in 2 a weekly competition to win FA Cup final tkts
spam,Get a new iPhone for $1. Claim yours now!
spam,You have been selected for a cash prize of $5000.
spam,WINNER!! As a valued network customer you have been selected
spam,Exclusive offer just for you! Claim your reward now.
spam,"You've been pre-approved for a $10,000 loan. No credit check!"
spam,Limited time offer! Buy one get one free!
spam,You’ve won tickets to the concert! Call to confirm.
spam,Congratulations! You've won a free ticket to Bahamas. Call now!
spam,Urgent! You have won a $1000 Walmart gift card. Click here.
spam,Free entry in 2 a weekly competition to win FA Cup final tkts
spam,Get a new iPhone for $1. Claim yours now!
spam,You have been selected for a cash prize of $5000.
spam,WINNER!! As a valued network customer you have been selected
spam,Exclusive offer just for you! Claim your reward now.
spam,"You've been pre-approved for a $10,000 loan. No credit check!"
spam,Limited time offer! Buy one get one free!
spam,You’ve won tickets to the concert! Call to confirm.
spam,Congratulations! You've won a free ticket to Bahamas. Call now!
spam,Urgent! You have won a $1000 Walmart gift card. Click here.
spam,Free entry in 2 a weekly competition to win FA Cup final tkts
